北汽制造	中国	276	0.02%	201906
五十铃	日本	202	0.01%	201906
云度	中国	200	0.01%	201906
纳智捷	中国	183	0.01%	201906
江铃	中国	166	0.01%	201906
力帆汽车	中国	148	0.01%	201906
知豆	中国	105	0.01%	201906
腾势	中国	101	0.01%	201906
福汽启腾	中国	57	-	201906
福迪	中国	27	-	201906
东风风度	中国	26	-	201906
大众	德国	227589	14.77%	201907
本田	日本	126243	8.19%	201907
丰田	日本	113350	7.35%	201907
吉利汽车	中国	81680	5.3%	201907
日产	日本	81010	5.26%	201907
别克	美国	55890	3.63%	201907
奥迪	德国	53808	3.49%	201907
奔驰	德国	49561	3.22%	201907
宝马	德国	45710	2.97%	201907
长安	中国	42701	2.77%	201907
哈弗	中国	42689	2.77%	201907
宝骏	中国	41923	2.72%	201907
雪佛兰	美国	40564	2.63%	201907
现代	韩国	39771	2.58%	201907
五菱汽车	中国	38847	2.52%	201907
荣威	中国	33071	2.15%	201907
奇瑞	中国	29898	1.94%	201907
比亚迪	中国	27869	1.81%	201907
广汽传祺	中国	25372	1.65%	201907
福特	美国	21787	1.41%	201907
起亚	韩国	20755	1.35%	201907
斯柯达	捷克	20122	1.31%	201907
马自达	日本	19570	1.27%	201907
名爵	中国	18504	1.2%	201907
凯迪拉克	美国	14707	0.95%	201907
沃尔沃	瑞典	13712	0.89%	201907
北京汽车	中国	11822	0.77%	201907
北汽新能源	中国	11543	0.75%	201907
东风风光	中国	11136	0.72%	201907
三菱	日本	11018	0.71%	201907
红旗	中国	8805	0.57%	201907
众泰	中国	8709	0.57%	201907
领克	中国	8618	0.56%	201907
捷途	中国	8195	0.53%	201907
启辰	中国	8112	0.53%	201907
奔腾	中国	7859	0.51%	201907
长安欧尚	中国	7625	0.49%	201907
魏牌	中国	7246	0.47%	201907
江汽集团	中国	7189	0.47%	201907
东风风行	中国	6874	0.45%	201907
金杯	中国	5916	0.38%	201907
标致	法国	5509	0.36%	201907
宝沃	德国	5147	0.33%	201907
Jeep	美国	5129	0.33%	201907
雪铁龙	法国	5101	0.33%	201907
比速汽车	中国	4330	0.28%	201907
上汽大通MAXUS	中国	4223	0.27%	201907
SWM斯威汽车	中国	3608	0.23%	201907
东风风神	中国	3569	0.23%	201907
广汽埃安	中国	3406	0.22%	201907
东南	中国	2864	0.19%	201907
东风小康	中国	2834	0.18%	201907
路虎	英国	2769	0.18%	201907
君马汽车	中国	2536	0.16%	201907
英菲尼迪	日本	2482	0.16%	201907
北汽幻速	中国	2210	0.14%	201907
长城	中国	2148	0.14%	201907
北京	中国	2073	0.13%	201907
欧拉	中国	2071	0.13%	201907
中华	中国	1768	0.11%	201907
欧尚汽车	中国	1532	0.1%	201907
小鹏汽车	中国	1515	0.1%	201907
蔚来	中国	1502	0.1%	201907
星途	中国	1486	0.1%	201907
雷诺	法国	1360	0.09%	201907
凯翼	中国	1305	0.08%	201907
福田	中国	1284	0.08%	201907
捷豹	英国	1244	0.08%	201907
海马	中国	1203	0.08%	201907
铃木	日本	1170	0.08%	201907
吉利几何	中国	1076	0.07%	201907
讴歌	日本	864	0.06%	201907
长安凯程	中国	644	0.04%	201907
中国重汽VGV	中国	565	0.04%	201907
力帆汽车	中国	550	0.04%	201907
北汽昌河	中国	546	0.04%	201907
开瑞	中国	452	0.03%	201907
东风	中国	403	0.03%	201907
猎豹汽车	中国	393	0.03%	201907
纳智捷	中国	212	0.01%	201907
福田乘用车	中国	207	0.01%	201907
云度	中国	180	0.01%	201907
东风风度	中国	152	0.01%	201907
DS	法国	121	0.01%	201907
五十铃	日本	93	0.01%	201907
福迪	中国	57	-	201907
福汽启腾	中国	48	-	201907
华泰	中国	32	-	201907
北汽制造	中国	28	-	201907
一汽	中国	17	-	201907
大众	德国	251466	15.07%	201908
本田	日本	116946	7.01%	201908
日产	日本	103029	6.17%	201908
丰田	日本	99173	5.94%	201908
吉利汽车	中国	88969	5.33%	201908
别克	美国	70200	4.21%	201908
奥迪	德国	55166	3.31%	201908
现代	韩国	52744	3.16%	201908
奔驰	德国	50366	3.02%	201908
哈弗	中国	50036	3%	201908
宝骏	中国	47740	2.86%	201908
宝马	德国	47644	2.86%	201908
雪佛兰	美国	47049	2.82%	201908
长安	中国	46191	2.77%	201908
五菱汽车	中国	44430	2.66%	201908
比亚迪	中国	34840	2.09%	201908
奇瑞	中国	34091	2.04%	201908
荣威	中国	30458	1.83%	201908
广汽传祺	中国	29375	1.76%	201908
斯柯达	捷克	23852	1.43%	201908
起亚	韩国	21542	1.29%	201908
福特	美国	21070	1.26%	201908
凯迪拉克	美国	19659	1.18%	201908
名爵	中国	19650	1.18%	201908
马自达	日本	17147	1.03%	201908
沃尔沃	瑞典	15189	0.91%	201908
捷途	中国	13698	0.82%	201908
东风风光	中国	13546	0.81%	201908
领克	中国	10982	0.66%	201908
北京汽车	中国	10923	0.65%	201908
三菱	日本	10800	0.65%	201908
东风风行	中国	10528	0.63%	201908
红旗	中国	10016	0.6%	201908
奔腾	中国	9774	0.59%	201908
北汽新能源	中国	9570	0.57%	201908
金杯	中国	8529	0.51%	201908
启辰	中国	8152	0.49%	201908
众泰	中国	7825	0.47%	201908
魏牌	中国	7004	0.42%	201908
江汽集团	中国	6155	0.37%	201908
长安欧尚	中国	5538	0.33%	201908
比速汽车	中国	5528	0.33%	201908
上汽大通MAXUS	中国	5380	0.32%	201908
Jeep	美国	5325	0.32%	201908
宝沃	德国	4506	0.27%	201908
北京	中国	4155	0.25%	201908
东风风神	中国	3978	0.24%	201908
SWM斯威汽车	中国	3919	0.23%	201908
广汽埃安	中国	3816	0.23%	201908
观致	中国	3663	0.22%	201908
标致	法国	3560	0.21%	201908
英菲尼迪	日本	3280	0.2%	201908
路虎	英国	3258	0.2%	201908
雪铁龙	法国	3228	0.19%	201908
东风小康	中国	3148	0.19%	201908
蔚来	中国	2796	0.17%	201908
东南	中国	1975	0.12%	201908
捷豹	英国	1936	0.12%	201908
中华	中国	1811	0.11%	201908
欧尚汽车	中国	1730	0.1%	201908
君马汽车	中国	1360	0.08%	201908
东风	中国	1323	0.08%	201908
长城	中国	1319	0.08%	201908
凯翼	中国	1278	0.08%	201908
福田	中国	1267	0.08%	201908
海马	中国	1248	0.07%	201908
欧拉	中国	1225	0.07%	201908
吉利几何	中国	1176	0.07%	201908
猎豹汽车	中国	1166	0.07%	201908
铃木	日本	1057	0.06%	201908
星途	中国	1053	0.06%	201908
雷诺	法国	1050	0.06%	201908
讴歌	日本	760	0.05%	201908
长安凯程	中国	722	0.04%	201908
北汽幻速	中国	640	0.04%	201908
开瑞	中国	621	0.04%	201908
中国重汽VGV	中国	548	0.03%	201908
力帆汽车	中国	545	0.03%	201908
北汽昌河	中国	373	0.02%	201908
福汽启腾	中国	362	0.02%	201908
小鹏汽车	中国	306	0.02%	201908
新特汽车	中国	200	0.01%	201908
北汽制造	中国	180	0.01%	201908
云度	中国	150	0.01%	201908
